Parcela;n;Especie;dap
11;651;Drimys brasiliensis Miers;13,12340358
11;652;Zanthoxylum rhoifolium Lam.;8,498873961
12;653;Podocarpus lambertii Klotzsch ex Endl.;6,652676621
12;654;Podocarpus lambertii Klotzsch ex Endl.;6,334366735
12;655;Podocarpus lambertii Klotzsch ex Endl.;8,085071109
12;657;Myrcia laruotteana Cambess.;8,467042972
12;658;Myrsine umbellata Mart.;8,307888029
12;659;Ocotea pulchella Mart.;19,73521294
12;660;Araucaria angustifolia (Bertol.) Kuntze;30,87605896
12;661;Ilex dumosa Reissek;6,207042781
12;662;Casearia decandra Jacq.;16,37626254
12;663;Myrsine umbellata Mart.;11,61831085
12;664;Araucaria angustifolia (Bertol.) Kuntze;9,103662745
12;665;Myrsine umbellata Mart.;9,963099438
12;666;Casearia decandra Jacq.;11,23633898
12;667;Lithraea brasiliensis Marchand;19,63971998
12;668;Podocarpus lambertii Klotzsch ex Endl.;23,87324146
12;669;Drimys brasiliensis Miers;8,371550007
12;670;Lithraea brasiliensis Marchand;14,00563499
12;671;Myrsine coriacea (Sw.) Roem. & Schult.;14,19662092
12;672;Piptocarpha angustifolia Dusén ex Malme;16,87042397
12;673;Myrsine umbellata Mart.;17,99608231
12;674;Lithraea brasiliensis Marchand;24,92366409
12;675;Lithraea brasiliensis Marchand;22,18619907
12;676;Dasyphyllum tomentosum (Spreng.) Cabrera;38,06986239
12;677;Prunus myrtifolia (L.) Urb.;15,46986047
12;678;Myrsine umbellata Mart.;8,785352859
12;679;Myrsine umbellata Mart.;11,56512292
12;680;Casearia decandra Jacq.;8,116902098
12;681;Lithraea brasiliensis Marchand;23,90507245
12;682;Duranta vestita Cham.;5,952394872
12;683;Lithraea brasiliensis Marchand;14,29211389
12;684;Ilex dumosa Reissek;10,24957834
12;685;Casearia decandra Jacq.;8,276057041
12;686;Podocarpus lambertii Klotzsch ex Endl.;8,817183847
12;687;Araucaria angustifolia (Bertol.) Kuntze;7,639437268
12;688;Podocarpus lambertii Klotzsch ex Endl.;8,944507802
12;689;Myrsine umbellata Mart.;9,740282517
12;690;Araucaria angustifolia (Bertol.) Kuntze;39,88422874
12;691;Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman;8,75352187
12;692;Myrsine umbellata Mart.;8,212395064
12;693;Araucaria angustifolia (Bertol.) Kuntze;38,83380611
12;694;Myrsine umbellata Mart.;12,60507149
12;695;Clethra scabra Pers.;13,36901522
12;696;Myrsine umbellata Mart.;13,27352225
13;140;Myrcia palustris DC.;8,381831275
13;141;Calyptranthes concinna DC.;18,510972
13;142;Myrcia palustris DC.;10,02256693
13;143;Myrceugenia myrcioides (Cambess.) O.Berg;8,423853286
13;144;Ilex theezans Mart. ex Reissek;25,24197397
13;145;Ocotea pulchella Mart.;27,50197417
13;146;Myrsine coriacea (Sw.) Roem. & Schult.;12,63690248
13;147;Eugenia pluriflora DC.;6,939155519
13;148;Myrcia guianensis (Aubl.) DC.;12,22309963
13;149;Ilex theezans Mart. ex Reissek;16,93408594
13;150;Lithraea brasiliensis Marchand;9,994930426
13;151;Calyptranthes concinna DC.;5,092958179
13;152;Drimys brasiliensis Miers;5,476410353
13;153;Vernonanthura discolor (Spreng.) H.Rob.;12,98704336
13;154;Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman;20,81746656
13;155;Eugenia pluriflora DC.;9,135493733
13;156;Calyptranthes concinna DC.;7,463195983
13;157;Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman;23,68225553
13;158;Araucaria angustifolia (Bertol.) Kuntze;23,7777485
13;159;Calyptranthes concinna DC.;6,215199214
13;160;Calyptranthes concinna DC.;6,219191961
13;161;Myrcia guianensis (Aubl.) DC.;7,04644918
13;162;Calyptranthes concinna DC.;11,74947287
13;163;Calyptranthes concinna DC.;11,90449186
13;164;Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman;10,37690229
13;165;Araucaria angustifolia (Bertol.) Kuntze;45,00901791
13;166;Lithraea brasiliensis Marchand;12,15943765
13;167;Lithraea brasiliensis Marchand;9,45380362
13;168;Ilex theezans Mart. ex Reissek;11,26816997
13;169;Calyptranthes concinna DC.;5,656340704
13;170;Vernonanthura discolor (Spreng.) H.Rob.;11,68197282
13;171;Eugenia pluriflora DC.;11,65014183
13;172;Duranta vestita Cham.;8,338564761
13;173;Myrsine umbellata Mart.;12,36682043
13;174;Podocarpus lambertii Klotzsch ex Endl.;8,276057041
13;175;Podocarpus lambertii Klotzsch ex Endl.;5,411268065
13;176;Podocarpus lambertii Klotzsch ex Endl.;7,60760628
13;177;Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman;13,81464906
13;178;Myrcia guianensis (Aubl.) DC.;9,708451529
